stn,wban,c,year
101220,99999,280,1988
030080,99999,280,1997
032040,99999,280,1998
711010,99999,280,1999
039170,99999,280,1987
912850,21504,280,1996
031710,99999,280,1998
039670,99999,280,1999
039550,99999,280,1988
039700,99999,280,1990
030910,99999,280,1998
039620,99999,279,1989
035020,99999,279,1999
031620,99999,279,1993
914130,40308,279,1996
821930,99999,279,1985
711070,25342,279,1988
030630,99999,279,1997
033020,99999,279,1982
031620,99999,279,1985
031620,99999,279,1997
704540,25704,279,1987
039740,99999,279,1985
703980,25308,279,1999
912850,21504,279,1981
913480,40504,279,1984
101260,99999,279,1988
031140,99999,279,1990
030910,99999,278,1987
914080,40309,278,1996
031400,99999,278,1994
030130,99999,278,1988
030250,99999,278,1996
619670,70701,278,1984
013170,99999,278,1989
033340,99999,278,1986
033470,99999,278,1998
030910,99999,278,1984
032460,99999,278,1998
030010,99999,278,1993
030010,99999,278,1988
964130,99999,278,1986
039020,99999,278,1986
999999,41406,278,1986
911760,22519,278,1994
912120,41415,278,1996
031400,99999,277,1985
039530,99999,277,1997
711010,99999,277,1988
689940,99999,277,1996
039710,99999,277,1983
039530,99999,277,1989
011520,99999,277,1989
031620,99999,277,1996
032040,99999,277,1986
060090,99999,277,1982
014150,99999,277,1992
915510,99999,277,1988
963150,99999,277,1984
038170,99999,277,1994
062350,99999,277,1998
033020,99999,277,1981
030080,99999,277,1999
479090,99999,276,1983
030490,99999,276,1995
039700,99999,276,1995
013110,99999,276,1992
964130,99999,276,1999
032040,99999,276,1985
913760,40710,276,1993
031620,99999,276,1989
038170,99999,276,1998
035020,99999,276,1981
031620,99999,276,1983
032450,99999,276,1986
888890,99999,276,1991
062400,99999,276,1988
030630,99999,276,1987
031600,99999,276,1992
033340,99999,276,1988
030910,99999,276,1981
689940,99999,276,1994
039620,99999,276,1991
032040,99999,276,1981
039570,99999,276,1981
039550,99999,276,1985
821930,99999,276,1993
038400,99999,276,1994
060110,99999,276,1982
990170,99999,276,1989
030660,99999,276,1987
062350,99999,276,1988
039700,99999,276,1989
060090,99999,275,1989
914130,40308,275,1989
039550,99999,275,1987
619020,99999,275,1992
030060,99999,275,1990
039200,99999,275,1999
030080,99999,275,1987
062400,99999,275,1981
949980,99999,275,1985
039710,99999,275,1988
039620,99999,275,1990
577070,99999,275,1986
031400,99999,275,1993
100260,99999,275,1988
915570,99999,275,1988
039690,99999,275,1982
030910,99999,275,1986
476040,99999,275,1993
039700,99999,275,1985
789250,99999,274,1984
100220,99999,274,1988
030080,99999,274,1982
031400,99999,274,1981
013755,99999,274,1990
060090,99999,274,1990
030630,99999,274,1996
030010,99999,274,1991
789250,99999,274,1982
032570,99999,274,1993
479090,99999,274,1989
039690,99999,274,1999
563850,99999,274,1981
479090,99999,274,1995
030490,99999,274,1985
039020,99999,274,1993
031350,99999,274,1990
030010,99999,274,1986
030080,99999,274,1981
703160,25624,274,1981
031020,99999,274,1993
821930,99999,274,1994
039650,99999,274,1986
030680,99999,274,1981
031710,99999,274,1985
821930,99999,274,1984
030570,99999,274,1990
033340,99999,274,1993
101360,99999,274,1988
913760,40710,273,1991
